ID,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2020 Winter Carr Inlet,Henderson Inlet,83,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,34.28,NA,5.8,9.5,2.4,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,84,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,14.47,17.41,4.4,8.6,0.4,NA,1
2020 Winter Carr Inlet,Henderson Inlet,84,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,32.05,NA,5.5,9.7,2.5,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,85,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,10.05,11.92,4.2,8.4,0.4,NA,1
2020 Winter Carr Inlet,Henderson Inlet,85,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,17.83,NA,4.7,9.3,2,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,86,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,18.45,26.42,5.1,10,0.3,NA,1
2020 Winter Carr Inlet,Henderson Inlet,86,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,34.84,NA,6.4,11.5,2.9,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,87,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,15.95,17.72,4.8,8,0.4,NA,0
2020 Winter Carr Inlet,Henderson Inlet,87,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,29.35,NA,5.8,9.7,2.7,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,88,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,30.95,28.05,5.3,10.5,0.4,NA,0
2020 Winter Carr Inlet,Henderson Inlet,88,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,45.42,NA,6.4,12.3,2.8,NA,NA
